Drift_ID,Date,Start_Time,End_Time,Duration_Minutes,Activity_Before_Drift,Activity_Type,Task_Difficulty,Task_Importance,Trigger_Type,Specific_Trigger,Distraction_Source,Energy_Level,Mood_Before,Stress_Level,Sleep_Hours_Last_Night,Caffeine/Meal_Status,Location,Noise_Level,Lighting,Temperature_Comfort,Recovery_Time_Minutes,Recovery_Method,Task_Resumed,Productivity_Impact,Cumulative_Drift_Today_Minutes,Focus_Session_Length_Before_Drift,Drift_Category
256,06-10-2025,07:00,07:08,8,Studying,Creative,Easy,Low,Internal,Hunger,Noise,High,Neutral,High,5.8,After Meal,Office,Loud,Bright,Comfortable,5,Short Walk,No,Major,19,12,Micro
257,07-10-2025,10:49,10:53,4,Planning,High-Focus,Hard,High,External,Multitasking,Internet,Low,Tired,High,6.3,After Meal,Lab,Quiet,Dim,Cold,6,Music,No,Minor,28,32,Major
258,08-10-2025,17:26,17:43,17,Reading,Repetitive,Hard,Low,Internal,Phone Call,Phone,High,Stressed,High,7.4,Caffeinated,Home,Moderate,Dim,Cold,3,Ignored Phone,No,Moderate,110,32,Major
259,05-10-2025,08:51,09:06,15,Studying,Creative,Medium,High,External,Hunger,Phone,Low,Happy,High,4.1,Caffeinated,Café,Loud,Dim,Cold,3,Meditation,Yes,Moderate,59,46,Major
260,02-10-2025,11:40,11:50,10,Coding,Creative,Hard,Medium,External,Boredom,Colleague,High,Tired,Medium,7.1,Fasting,Home,Quiet,Bright,Comfortable,2,Ignored Phone,No,Moderate,44,58,Micro
261,07-10-2025,16:35,16:53,18,Studying,Repetitive,Hard,Medium,Internal,Multitasking,Noise,Low,Tired,High,4.3,After Meal,Lab,Moderate,Normal,Hot,1,Meditation,No,Major,7,38,Medium
262,02-10-2025,19:22,19:28,6,Browsing,High-Focus,Medium,Medium,External,Boredom,Noise,High,Tired,High,6.6,Caffeinated,Home,Moderate,Dim,Comfortable,15,Meditation,Yes,Minor,13,26,Major
263,02-10-2025,10:01,10:13,12,Coding,High-Focus,Easy,Low,Internal,Multitasking,Colleague,High,Tired,Low,5.5,Caffeinated,Office,Loud,Normal,Comfortable,11,Continued Task,Yes,Moderate,13,60,Major
264,01-10-2025,08:31,08:49,18,Designing,High-Focus,Medium,High,External,Hunger,Colleague,Low,Stressed,High,5.3,Hungry,Library,Loud,Normal,Hot,4,Short Walk,No,Minor,18,20,Micro
265,01-10-2025,16:32,16:37,5,Planning,Repetitive,Hard,Medium,Internal,Fatigue,Phone,Low,Calm,High,4.4,Caffeinated,Office,Moderate,Bright,Cold,12,Meditation,Yes,Moderate,30,46,Micro
266,02-10-2025,14:42,14:53,11,Designing,Creative,Easy,Medium,Internal,Notification,Self-thoughts,Low,Calm,High,8.0,Hungry,Office,Loud,Bright,Hot,15,Ignored Phone,No,Moderate,45,41,Medium
267,06-10-2025,07:57,08:03,6,Studying,High-Focus,Medium,High,External,Multitasking,Noise,High,Neutral,Low,4.0,Hungry,Café,Loud,Dim,Cold,11,Continued Task,Yes,Moderate,97,32,Major
268,02-10-2025,08:20,08:27,7,Reading,High-Focus,Easy,Medium,External,Multitasking,Noise,Low,Happy,Medium,8.7,After Meal,Library,Moderate,Normal,Hot,8,Ignored Phone,Yes,Minor,49,41,Micro
269,08-10-2025,20:42,20:53,11,Reading,Repetitive,Easy,Low,External,Notification,Self-thoughts,High,Happy,High,5.2,After Meal,Office,Loud,Bright,Hot,13,Short Walk,Yes,Major,68,58,Major
270,02-10-2025,17:13,17:16,3,Meeting,High-Focus,Medium,Medium,External,Notification,Colleague,High,Happy,High,6.1,Caffeinated,Lab,Loud,Dim,Cold,3,Ignored Phone,Yes,Moderate,105,55,Medium
271,02-10-2025,11:39,11:41,2,Coding,Repetitive,Hard,Low,Internal,Notification,Self-thoughts,Medium,Stressed,Low,5.0,After Meal,Café,Quiet,Dim,Cold,15,Continued Task,No,Minor,29,48,Medium
272,05-10-2025,10:32,10:51,19,Coding,Creative,Easy,Low,Internal,Hunger,Colleague,Low,Stressed,Low,8.4,Hungry,Lab,Quiet,Normal,Comfortable,8,Ignored Phone,No,Moderate,88,6,Micro
273,06-10-2025,19:09,19:26,17,Browsing,Repetitive,Easy,Medium,Internal,Noise,Environment,Medium,Calm,Low,6.4,Hungry,Library,Loud,Bright,Comfortable,3,Short Walk,No,Moderate,13,47,Major
274,04-10-2025,09:39,09:57,18,Coding,High-Focus,Hard,Low,External,Noise,Environment,Low,Neutral,Medium,8.2,Caffeinated,Library,Loud,Dim,Cold,5,Music,Yes,Minor,93,26,Medium
275,04-10-2025,09:55,10:04,9,Coding,High-Focus,Hard,Medium,Internal,Phone Call,Internet,Medium,Calm,Low,4.3,Caffeinated,Library,Moderate,Dim,Comfortable,1,Music,Yes,Minor,35,51,Major
276,02-10-2025,16:36,16:53,17,Browsing,Repetitive,Hard,Medium,Internal,Notification,Phone,Low,Happy,Low,6.9,Hungry,Lab,Moderate,Normal,Cold,12,Short Walk,Yes,Moderate,24,53,Major
277,04-10-2025,09:52,09:55,3,Writing,Creative,Easy,High,Internal,Notification,Self-thoughts,High,Neutral,Medium,8.6,Caffeinated,Library,Loud,Bright,Comfortable,8,Ignored Phone,Yes,Minor,62,29,Medium
278,03-10-2025,13:04,13:16,12,Designing,High-Focus,Hard,High,Internal,Boredom,Self-thoughts,Medium,Calm,Low,7.9,After Meal,Home,Moderate,Dim,Hot,15,Ignored Phone,Yes,Moderate,28,14,Medium
279,02-10-2025,16:33,16:52,19,Designing,High-Focus,Easy,High,External,Multitasking,Phone,Medium,Neutral,High,6.9,Caffeinated,Café,Loud,Normal,Hot,13,Ignored Phone,No,Major,36,14,Medium
280,02-10-2025,19:55,20:10,15,Planning,High-Focus,Easy,Medium,Internal,Noise,Colleague,Medium,Happy,Medium,6.2,Fasting,Office,Moderate,Dim,Hot,4,Short Walk,Yes,Major,9,50,Micro
281,03-10-2025,17:23,17:39,16,Planning,Creative,Easy,Low,Internal,Boredom,Environment,Low,Happy,High,5.8,After Meal,Home,Moderate,Dim,Cold,9,Continued Task,Yes,Moderate,35,21,Micro
282,02-10-2025,19:27,19:30,3,Reading,Repetitive,Medium,Medium,External,Boredom,Colleague,High,Stressed,High,5.3,Caffeinated,Café,Loud,Normal,Hot,1,Continued Task,Yes,Major,41,20,Major
283,03-10-2025,12:34,12:45,11,Designing,High-Focus,Hard,Medium,External,Phone Call,Phone,High,Neutral,High,5.8,Hungry,Library,Moderate,Dim,Comfortable,11,Ignored Phone,Yes,Minor,7,30,Micro
284,07-10-2025,19:12,19:21,9,Reading,High-Focus,Medium,Low,External,Fatigue,Environment,Low,Tired,Medium,7.4,Fasting,Café,Loud,Normal,Comfortable,7,Ignored Phone,No,Minor,52,44,Major
285,07-10-2025,17:00,17:20,20,Designing,Repetitive,Medium,Low,Internal,Multitasking,Phone,Medium,Tired,Low,8.0,Fasting,Home,Moderate,Bright,Cold,1,Short Walk,No,Moderate,99,41,Major
286,07-10-2025,09:24,09:37,13,Coding,High-Focus,Hard,High,Internal,Phone Call,Noise,Medium,Happy,High,9.0,Hungry,Home,Moderate,Dim,Comfortable,7,Music,No,Major,33,41,Major
287,06-10-2025,20:33,20:53,20,Reading,Repetitive,Hard,Medium,Internal,Multitasking,Colleague,Low,Happy,Medium,4.6,Hungry,Lab,Loud,Bright,Hot,8,Continued Task,No,Major,15,21,Medium
288,06-10-2025,09:28,09:41,13,Coding,Creative,Easy,High,External,Fatigue,Phone,Medium,Calm,Medium,5.2,Caffeinated,Home,Loud,Normal,Cold,5,Music,No,Moderate,78,35,Medium
289,01-10-2025,20:14,20:19,5,Coding,Creative,Easy,Low,External,Boredom,Internet,Medium,Neutral,Low,9.0,Fasting,Home,Moderate,Normal,Hot,3,Short Walk,No,Moderate,93,56,Medium
290,01-10-2025,22:46,22:51,5,Browsing,Repetitive,Easy,Medium,External,Noise,Self-thoughts,Medium,Happy,Medium,6.4,Hungry,Café,Moderate,Bright,Hot,4,Continued Task,No,Moderate,27,25,Medium
291,01-10-2025,19:50,20:05,15,Studying,High-Focus,Easy,Low,External,Hunger,Environment,Medium,Calm,Medium,8.6,Hungry,Café,Moderate,Normal,Cold,2,Short Walk,Yes,Moderate,19,11,Micro
292,02-10-2025,12:04,12:13,9,Planning,Creative,Hard,Medium,Internal,Phone Call,Noise,High,Happy,Low,7.6,Fasting,Library,Moderate,Dim,Cold,14,Meditation,Yes,Minor,116,43,Medium
293,06-10-2025,16:22,16:37,15,Browsing,High-Focus,Hard,High,External,Fatigue,Colleague,High,Calm,High,7.8,After Meal,Lab,Loud,Normal,Cold,5,Short Walk,No,Major,25,40,Medium
294,06-10-2025,15:32,15:51,19,Browsing,Repetitive,Medium,Medium,Internal,Boredom,Environment,High,Neutral,High,6.7,Caffeinated,Library,Quiet,Bright,Cold,13,Short Walk,No,Major,91,14,Medium
295,07-10-2025,09:36,09:54,18,Writing,Repetitive,Medium,Medium,Internal,Hunger,Noise,Medium,Tired,Low,5.9,Caffeinated,Café,Loud,Bright,Hot,8,Meditation,Yes,Moderate,84,14,Medium
296,04-10-2025,14:13,14:23,10,Designing,Creative,Easy,Medium,Internal,Hunger,Noise,Low,Neutral,High,7.8,Fasting,Lab,Loud,Normal,Hot,2,Continued Task,No,Moderate,72,31,Micro
297,07-10-2025,16:59,17:12,13,Planning,High-Focus,Hard,Low,Internal,Hunger,Phone,High,Stressed,Medium,4.8,Caffeinated,Lab,Loud,Normal,Hot,15,Short Walk,No,Minor,70,39,Major
298,05-10-2025,12:15,12:26,11,Browsing,Creative,Medium,Low,External,Multitasking,Self-thoughts,Low,Happy,High,6.3,After Meal,Lab,Loud,Normal,Cold,15,Music,Yes,Major,45,31,Micro
299,04-10-2025,08:38,08:49,11,Planning,Repetitive,Hard,Medium,External,Multitasking,Noise,Medium,Neutral,Medium,7.5,Caffeinated,Café,Moderate,Normal,Hot,12,Continued Task,No,Minor,89,32,Major
300,07-10-2025,14:56,15:16,20,Reading,Repetitive,Medium,Medium,External,Phone Call,Noise,Medium,Stressed,Medium,4.4,After Meal,Lab,Loud,Dim,Cold,15,Music,No,Minor,56,55,Micro
301,08-10-2025,18:24,18:42,18,Studying,Creative,Medium,Medium,External,Hunger,Environment,Low,Calm,High,5.0,Hungry,Café,Moderate,Bright,Hot,4,Music,Yes,Major,28,37,Medium
302,05-10-2025,15:18,15:37,19,Designing,Creative,Easy,Low,Internal,Fatigue,Self-thoughts,High,Tired,High,5.9,Caffeinated,Library,Loud,Bright,Hot,12,Meditation,No,Moderate,23,54,Micro
303,02-10-2025,07:42,07:57,15,Studying,Repetitive,Medium,Medium,External,Fatigue,Environment,High,Tired,Low,7.3,After Meal,Office,Moderate,Normal,Hot,14,Continued Task,No,Minor,97,50,Medium
304,03-10-2025,07:02,07:06,4,Browsing,Repetitive,Easy,Low,Internal,Phone Call,Phone,Medium,Happy,Medium,8.6,After Meal,Home,Quiet,Normal,Comfortable,14,Ignored Phone,No,Minor,5,42,Major
305,04-10-2025,15:39,15:44,5,Meeting,Creative,Hard,High,Internal,Hunger,Colleague,Low,Neutral,High,4.2,Caffeinated,Café,Quiet,Dim,Cold,2,Ignored Phone,Yes,Minor,67,48,Major
306,08-10-2025,22:58,23:14,16,Meeting,Creative,Hard,Low,Internal,Boredom,Internet,Medium,Neutral,Low,6.9,After Meal,Lab,Moderate,Normal,Hot,11,Meditation,Yes,Moderate,83,60,Major
307,06-10-2025,22:54,22:56,2,Browsing,Repetitive,Easy,High,Internal,Notification,Self-thoughts,Medium,Tired,Low,7.5,Hungry,Library,Quiet,Dim,Comfortable,11,Music,No,Major,46,19,Micro
308,02-10-2025,13:03,13:12,9,Planning,Repetitive,Hard,Medium,Internal,Boredom,Internet,Low,Happy,Medium,4.6,Caffeinated,Lab,Loud,Normal,Cold,14,Ignored Phone,Yes,Major,18,34,Major
309,04-10-2025,13:16,13:31,15,Writing,Repetitive,Hard,Low,Internal,Noise,Self-thoughts,Low,Calm,Low,5.8,Fasting,Library,Quiet,Bright,Hot,7,Continued Task,No,Minor,23,60,Medium
310,04-10-2025,22:38,22:54,16,Meeting,Repetitive,Hard,Low,External,Noise,Self-thoughts,Medium,Tired,Low,5.0,After Meal,Library,Moderate,Normal,Hot,4,Continued Task,No,Moderate,18,37,Major
311,04-10-2025,13:37,13:42,5,Designing,Creative,Easy,Medium,External,Multitasking,Environment,Medium,Happy,High,7.9,Caffeinated,Library,Moderate,Normal,Cold,15,Ignored Phone,No,Minor,10,25,Medium
312,08-10-2025,11:45,12:03,18,Writing,High-Focus,Medium,Medium,External,Phone Call,Noise,Low,Neutral,Medium,4.3,Caffeinated,Café,Quiet,Bright,Comfortable,13,Continued Task,No,Major,69,32,Medium
313,08-10-2025,09:45,10:01,16,Planning,Creative,Medium,Low,Internal,Fatigue,Phone,Medium,Tired,High,4.1,Fasting,Library,Quiet,Bright,Cold,13,Meditation,No,Moderate,110,24,Medium
314,01-10-2025,10:06,10:24,18,Studying,Repetitive,Easy,High,Internal,Fatigue,Phone,Low,Calm,Medium,7.7,Hungry,Office,Quiet,Normal,Comfortable,15,Meditation,Yes,Major,103,39,Micro
315,02-10-2025,21:17,21:35,18,Planning,Repetitive,Easy,Medium,Internal,Fatigue,Noise,High,Neutral,High,6.2,After Meal,Café,Quiet,Dim,Cold,8,Continued Task,Yes,Moderate,78,50,Medium
316,06-10-2025,22:15,22:18,3,Browsing,High-Focus,Medium,Medium,Internal,Notification,Self-thoughts,Medium,Tired,Low,6.5,Hungry,Home,Quiet,Normal,Comfortable,7,Meditation,Yes,Minor,109,39,Micro
317,08-10-2025,19:52,19:59,7,Browsing,Creative,Hard,Low,Internal,Hunger,Environment,Low,Happy,High,7.2,After Meal,Café,Loud,Dim,Comfortable,8,Meditation,Yes,Minor,86,39,Micro
318,05-10-2025,14:00,14:19,19,Writing,Repetitive,Hard,Medium,External,Noise,Internet,Low,Tired,High,5.5,After Meal,Office,Moderate,Dim,Cold,9,Meditation,No,Minor,81,54,Major
319,07-10-2025,06:29,06:33,4,Coding,High-Focus,Easy,High,Internal,Phone Call,Colleague,Medium,Neutral,High,8.8,Fasting,Lab,Loud,Dim,Cold,15,Ignored Phone,No,Major,89,32,Major
320,07-10-2025,16:43,16:49,6,Designing,High-Focus,Medium,Low,Internal,Boredom,Self-thoughts,High,Happy,High,7.1,Hungry,Library,Moderate,Dim,Comfortable,6,Music,No,Major,119,22,Micro
321,08-10-2025,06:28,06:38,10,Meeting,Creative,Hard,Low,External,Boredom,Colleague,Medium,Calm,High,8.1,Caffeinated,Café,Loud,Normal,Hot,10,Short Walk,No,Moderate,111,24,Micro
322,01-10-2025,13:34,13:50,16,Writing,High-Focus,Medium,High,Internal,Fatigue,Self-thoughts,High,Tired,Low,6.4,Caffeinated,Café,Quiet,Bright,Comfortable,8,Ignored Phone,No,Minor,12,12,Major
323,08-10-2025,08:26,08:32,6,Browsing,Repetitive,Easy,Medium,Internal,Noise,Environment,Medium,Tired,Low,7.5,Caffeinated,Office,Loud,Dim,Comfortable,8,Continued Task,Yes,Minor,32,25,Major
324,04-10-2025,06:26,06:30,4,Designing,Creative,Easy,Medium,Internal,Hunger,Self-thoughts,High,Tired,Medium,4.1,Caffeinated,Library,Quiet,Normal,Cold,15,Ignored Phone,No,Moderate,105,33,Medium
325,05-10-2025,15:22,15:29,7,Reading,Repetitive,Easy,Low,Internal,Boredom,Internet,Low,Happy,High,4.5,Hungry,Office,Loud,Dim,Hot,2,Ignored Phone,Yes,Moderate,38,40,Micro
326,04-10-2025,16:34,16:51,17,Designing,High-Focus,Medium,Medium,External,Boredom,Colleague,High,Calm,Low,4.0,After Meal,Library,Quiet,Bright,Hot,7,Continued Task,No,Major,77,29,Major
327,03-10-2025,17:34,17:54,20,Writing,High-Focus,Easy,Medium,External,Fatigue,Self-thoughts,High,Calm,High,5.2,Fasting,Library,Loud,Bright,Cold,14,Short Walk,Yes,Major,77,31,Medium
328,06-10-2025,09:40,09:42,2,Meeting,Repetitive,Medium,High,Internal,Boredom,Colleague,High,Happy,Medium,6.7,Caffeinated,Office,Loud,Dim,Cold,4,Ignored Phone,Yes,Major,89,44,Major
329,06-10-2025,21:27,21:29,2,Designing,High-Focus,Hard,High,Internal,Notification,Phone,Medium,Neutral,Medium,5.6,Fasting,Library,Quiet,Dim,Comfortable,15,Music,No,Minor,91,5,Medium
330,08-10-2025,20:07,20:26,19,Coding,Creative,Easy,High,External,Boredom,Phone,High,Happy,High,7.8,Hungry,Lab,Moderate,Normal,Cold,3,Music,Yes,Minor,94,49,Major
331,05-10-2025,17:42,17:47,5,Coding,Repetitive,Easy,Medium,External,Boredom,Phone,Medium,Stressed,Low,5.6,Caffeinated,Library,Moderate,Dim,Cold,12,Meditation,Yes,Major,44,23,Micro
332,03-10-2025,06:42,06:44,2,Designing,Repetitive,Hard,High,External,Phone Call,Environment,Low,Stressed,Medium,6.7,Hungry,Home,Quiet,Dim,Hot,2,Short Walk,No,Major,16,40,Major
333,05-10-2025,08:04,08:17,13,Designing,Creative,Hard,Medium,External,Hunger,Noise,Low,Neutral,Low,6.9,Hungry,Café,Moderate,Bright,Hot,9,Meditation,Yes,Major,102,12,Major
334,05-10-2025,21:43,21:58,15,Reading,Creative,Hard,Low,Internal,Notification,Internet,Medium,Tired,Medium,4.2,Caffeinated,Home,Moderate,Bright,Comfortable,12,Continued Task,No,Major,42,8,Micro
335,04-10-2025,18:32,18:50,18,Planning,Repetitive,Easy,High,External,Fatigue,Environment,High,Happy,Medium,5.9,Hungry,Office,Quiet,Normal,Comfortable,3,Short Walk,No,Moderate,14,53,Major
336,07-10-2025,09:09,09:16,7,Browsing,Creative,Medium,Medium,External,Noise,Environment,Low,Calm,Low,7.3,After Meal,Lab,Quiet,Dim,Cold,6,Music,No,Major,58,31,Major
337,02-10-2025,12:47,12:53,6,Browsing,Creative,Medium,High,External,Noise,Colleague,Low,Happy,Medium,6.3,Caffeinated,Home,Quiet,Dim,Cold,10,Music,No,Major,70,51,Medium
338,05-10-2025,22:03,22:07,4,Planning,High-Focus,Medium,Low,External,Noise,Phone,High,Calm,High,5.6,After Meal,Café,Quiet,Normal,Cold,7,Music,No,Minor,32,16,Medium
339,01-10-2025,15:26,15:46,20,Meeting,Repetitive,Hard,High,External,Multitasking,Self-thoughts,Low,Neutral,Medium,4.1,Fasting,Library,Quiet,Normal,Cold,1,Ignored Phone,Yes,Major,76,36,Major
340,06-10-2025,06:02,06:18,16,Studying,Creative,Easy,Low,Internal,Multitasking,Self-thoughts,High,Neutral,Medium,4.1,Hungry,Home,Quiet,Bright,Cold,7,Short Walk,No,Moderate,90,13,Micro
341,01-10-2025,11:00,11:18,18,Planning,Repetitive,Medium,Medium,Internal,Fatigue,Noise,High,Calm,Low,8.7,Caffeinated,Café,Moderate,Normal,Hot,2,Short Walk,No,Major,66,20,Micro
342,04-10-2025,10:46,11:05,19,Planning,Creative,Hard,High,External,Fatigue,Noise,Medium,Calm,Medium,7.1,After Meal,Library,Loud,Normal,Hot,4,Continued Task,No,Minor,67,9,Medium
343,03-10-2025,15:34,15:41,7,Meeting,High-Focus,Easy,Medium,External,Fatigue,Internet,Medium,Tired,Low,5.3,Caffeinated,Café,Quiet,Dim,Hot,11,Continued Task,No,Major,26,7,Micro
344,03-10-2025,19:35,19:42,7,Browsing,Creative,Medium,High,External,Fatigue,Internet,High,Stressed,High,4.6,Fasting,Library,Loud,Normal,Hot,1,Continued Task,Yes,Major,55,8,Micro
345,04-10-2025,09:03,09:19,16,Planning,Creative,Medium,Low,Internal,Hunger,Internet,High,Calm,High,5.1,After Meal,Office,Moderate,Dim,Comfortable,9,Music,Yes,Major,32,9,Micro
346,06-10-2025,14:07,14:15,8,Designing,High-Focus,Easy,Medium,External,Notification,Colleague,High,Calm,High,7.9,Fasting,Lab,Loud,Normal,Cold,10,Short Walk,Yes,Minor,117,15,Medium
347,02-10-2025,21:26,21:39,13,Designing,Repetitive,Medium,High,Internal,Boredom,Noise,Medium,Neutral,Low,8.6,Hungry,Café,Loud,Dim,Comfortable,9,Music,Yes,Moderate,16,14,Micro
348,02-10-2025,13:10,13:17,7,Writing,Repetitive,Hard,Medium,External,Multitasking,Colleague,High,Stressed,High,8.7,Fasting,Café,Loud,Normal,Hot,11,Meditation,Yes,Moderate,103,18,Medium
349,02-10-2025,08:04,08:24,20,Studying,Repetitive,Easy,Medium,Internal,Boredom,Environment,High,Happy,Low,4.8,Fasting,Lab,Moderate,Dim,Cold,7,Short Walk,No,Moderate,37,17,Micro
350,01-10-2025,19:32,19:44,12,Planning,Repetitive,Medium,Medium,External,Noise,Phone,Low,Tired,Low,5.9,After Meal,Library,Quiet,Normal,Comfortable,3,Short Walk,Yes,Minor,12,31,Medium
351,03-10-2025,11:07,11:12,5,Writing,Repetitive,Medium,Medium,External,Phone Call,Phone,High,Stressed,High,6.5,Caffeinated,Office,Loud,Dim,Cold,6,Meditation,Yes,Moderate,111,50,Major
352,07-10-2025,18:28,18:30,2,Coding,High-Focus,Hard,Medium,External,Phone Call,Environment,Low,Stressed,High,7.5,After Meal,Library,Quiet,Bright,Hot,12,Continued Task,Yes,Major,52,55,Medium
353,02-10-2025,14:30,14:38,8,Planning,High-Focus,Medium,High,External,Notification,Internet,Low,Neutral,High,5.4,After Meal,Library,Moderate,Bright,Cold,11,Ignored Phone,No,Moderate,97,13,Medium
354,01-10-2025,22:18,22:31,13,Studying,Creative,Hard,High,External,Fatigue,Colleague,Medium,Neutral,Medium,8.3,Caffeinated,Library,Quiet,Bright,Hot,1,Short Walk,No,Minor,102,55,Medium
355,03-10-2025,13:28,13:45,17,Designing,Repetitive,Easy,Low,Internal,Noise,Self-thoughts,Medium,Neutral,Medium,7.0,After Meal,Café,Moderate,Dim,Comfortable,14,Music,No,Minor,13,10,Medium
356,02-10-2025,09:10,09:29,19,Coding,Repetitive,Hard,High,External,Phone Call,Phone,Low,Stressed,High,7.8,After Meal,Lab,Loud,Bright,Comfortable,3,Music,Yes,Major,31,33,Medium
357,03-10-2025,09:08,09:28,20,Planning,Creative,Easy,Low,External,Multitasking,Self-thoughts,Low,Happy,Low,6.4,After Meal,Library,Quiet,Bright,Cold,4,Ignored Phone,Yes,Major,43,19,Micro
358,04-10-2025,20:04,20:17,13,Meeting,High-Focus,Medium,Low,Internal,Noise,Noise,Medium,Tired,Low,4.7,Hungry,Café,Quiet,Normal,Hot,10,Ignored Phone,Yes,Minor,31,27,Major
359,04-10-2025,07:03,07:09,6,Writing,Repetitive,Hard,Low,Internal,Multitasking,Phone,High,Happy,High,8.0,After Meal,Lab,Loud,Dim,Comfortable,9,Continued Task,Yes,Major,7,14,Major
360,08-10-2025,13:52,14:02,10,Designing,Creative,Hard,Medium,External,Hunger,Colleague,Medium,Neutral,Medium,4.2,Hungry,Office,Moderate,Dim,Cold,14,Ignored Phone,Yes,Moderate,104,27,Micro
361,07-10-2025,13:56,14:08,12,Planning,Creative,Hard,Medium,External,Multitasking,Self-thoughts,High,Stressed,Low,7.0,After Meal,Home,Moderate,Normal,Cold,1,Meditation,Yes,Minor,35,8,Major
362,06-10-2025,15:02,15:13,11,Reading,Repetitive,Medium,Low,Internal,Multitasking,Environment,Medium,Happy,Low,4.3,After Meal,Café,Moderate,Bright,Cold,7,Meditation,Yes,Moderate,46,53,Medium
363,02-10-2025,15:03,15:06,3,Reading,Creative,Hard,High,External,Phone Call,Internet,Low,Tired,High,8.2,Hungry,Library,Quiet,Bright,Cold,6,Ignored Phone,Yes,Moderate,31,42,Medium
364,05-10-2025,10:30,10:44,14,Meeting,High-Focus,Easy,Low,External,Boredom,Colleague,Low,Happy,Low,6.5,Caffeinated,Lab,Quiet,Normal,Comfortable,1,Music,Yes,Moderate,72,39,Micro
365,07-10-2025,08:14,08:21,7,Reading,Repetitive,Medium,High,External,Multitasking,Colleague,Medium,Tired,High,4.1,Caffeinated,Library,Quiet,Dim,Hot,10,Music,Yes,Moderate,104,28,Major
366,02-10-2025,15:14,15:32,18,Studying,Repetitive,Medium,Low,External,Notification,Phone,Low,Tired,Low,6.7,Hungry,Office,Moderate,Normal,Comfortable,4,Meditation,Yes,Moderate,73,38,Major
367,06-10-2025,16:18,16:20,2,Planning,Creative,Hard,Medium,Internal,Fatigue,Environment,Medium,Neutral,Medium,7.3,Fasting,Home,Quiet,Normal,Cold,11,Short Walk,Yes,Minor,93,14,Medium
368,04-10-2025,13:56,14:11,15,Planning,Creative,Medium,Low,External,Notification,Internet,Low,Neutral,Low,7.5,After Meal,Home,Moderate,Dim,Comfortable,10,Continued Task,No,Major,99,56,Micro
369,02-10-2025,07:34,07:45,11,Planning,Repetitive,Hard,Medium,External,Notification,Self-thoughts,High,Happy,Medium,7.6,Caffeinated,Lab,Quiet,Dim,Cold,9,Short Walk,Yes,Minor,115,6,Micro
370,06-10-2025,19:47,19:57,10,Coding,High-Focus,Easy,Medium,Internal,Notification,Internet,Medium,Happy,Low,5.9,Fasting,Library,Quiet,Bright,Hot,5,Continued Task,Yes,Major,77,28,Major
371,05-10-2025,07:45,08:03,18,Designing,Repetitive,Medium,High,Internal,Fatigue,Self-thoughts,High,Stressed,Medium,6.7,Fasting,Office,Moderate,Bright,Cold,10,Ignored Phone,No,Moderate,51,12,Medium
372,04-10-2025,10:41,10:55,14,Coding,Creative,Hard,Low,Internal,Notification,Internet,Medium,Calm,Low,4.9,Fasting,Library,Moderate,Bright,Cold,5,Continued Task,Yes,Minor,30,38,Micro
373,07-10-2025,07:02,07:12,10,Writing,Repetitive,Medium,Medium,External,Fatigue,Phone,Medium,Calm,High,8.4,Hungry,Library,Moderate,Bright,Cold,8,Meditation,Yes,Major,113,51,Major
374,08-10-2025,16:11,16:17,6,Designing,Repetitive,Hard,High,Internal,Noise,Internet,Medium,Happy,High,7.8,Fasting,Lab,Quiet,Normal,Cold,5,Continued Task,Yes,Moderate,69,44,Medium
375,02-10-2025,13:16,13:21,5,Designing,High-Focus,Medium,Medium,Internal,Boredom,Internet,Low,Stressed,Low,5.2,Fasting,Library,Moderate,Dim,Cold,5,Meditation,Yes,Moderate,103,53,Medium
376,01-10-2025,17:41,17:49,8,Designing,Creative,Easy,Low,External,Notification,Self-thoughts,Medium,Stressed,Medium,5.0,Hungry,Library,Moderate,Normal,Comfortable,6,Ignored Phone,Yes,Minor,94,53,Micro
377,08-10-2025,20:33,20:35,2,Browsing,Repetitive,Easy,Low,External,Fatigue,Environment,High,Tired,High,5.6,Fasting,Home,Loud,Bright,Comfortable,5,Short Walk,No,Moderate,97,54,Medium
378,06-10-2025,20:29,20:40,11,Browsing,Repetitive,Hard,High,Internal,Fatigue,Colleague,High,Neutral,Low,7.0,After Meal,Library,Moderate,Normal,Cold,6,Short Walk,Yes,Minor,51,52,Medium
379,07-10-2025,19:56,20:02,6,Meeting,Creative,Hard,High,Internal,Boredom,Self-thoughts,Low,Calm,Low,6.7,Fasting,Library,Loud,Dim,Comfortable,7,Music,No,Minor,12,41,Micro
380,05-10-2025,07:17,07:21,4,Coding,Creative,Medium,High,External,Fatigue,Environment,Low,Neutral,Low,5.8,Fasting,Office,Moderate,Bright,Comfortable,1,Short Walk,Yes,Minor,36,50,Medium
381,05-10-2025,16:59,17:15,16,Writing,Creative,Easy,High,Internal,Noise,Phone,Low,Tired,High,8.1,Fasting,Café,Moderate,Dim,Comfortable,4,Short Walk,No,Minor,92,38,Medium
382,03-10-2025,21:54,22:09,15,Meeting,Repetitive,Easy,Medium,External,Multitasking,Phone,Low,Tired,Low,4.9,Fasting,Home,Loud,Bright,Comfortable,5,Continued Task,No,Minor,6,56,Medium
